,Customer_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Product_ID,Quantity
182,KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,OFF-AR-10003856,2
183,KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,TEC-PH-10000912,4
184,KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,OFF-BI-10001658,5
206,RW-19540,CA-2017-101014,2017-08-29,2017-09-04,Standard Class,FUR-FU-10003374,3
207,LW-17215,CA-2017-102218,2017-09-02,2017-09-04,Second Class,OFF-LA-10002475,2
208,AW-10930,CA-2017-107321,2017-08-31,2017-09-04,Standard Class,TEC-PH-10002200,4
209,AW-10930,CA-2017-107321,2017-08-31,2017-09-04,Standard Class,OFF-BI-10004022,3
210,MH-17290,CA-2017-169327,2017-09-02,2017-09-04,Second Class,OFF-AP-10001492,5
211,MH-17290,CA-2017-169327,2017-09-02,2017-09-04,Second Class,OFF-BI-10004330,5
212,MH-17290,CA-2017-169327,2017-09-02,2017-09-04,Second Class,FUR-FU-10004188,5
213,RL-19615,US-2017-135062,2017-08-31,2017-09-04,Second Class,OFF-PA-10000100,7
253,KB-16405,CA-2017-101182,2017-09-04,2017-09-05,First Class,TEC-PH-10003589,3
254,KB-16405,CA-2017-101182,2017-09-04,2017-09-05,First Class,OFF-PA-10001800,2
255,BG-11035,CA-2017-117198,2017-08-31,2017-09-05,Standard Class,TEC-AC-10003033,2
256,MG-17890,CA-2017-127712,2017-08-31,2017-09-05,Standard Class,OFF-SU-10002522,2
257,BN-11515,CA-2017-131625,2017-09-01,2017-09-05,Second Class,FUR-FU-10004960,5
258,MS-17770,CA-2017-132619,2017-08-31,2017-09-05,Standard Class,OFF-ST-10001511,3
259,AJ-10945,CA-2017-133004,2017-08-31,2017-09-05,Standard Class,OFF-AP-10002439,9
260,JF-15490,CA-2017-159884,2017-08-31,2017-09-05,Standard Class,OFF-ST-10000344,1
261,JF-15490,CA-2017-159884,2017-08-31,2017-09-05,Standard Class,OFF-FA-10000585,3
262,AS-10045,US-2017-147655,2017-09-04,2017-09-05,First Class,OFF-BI-10002931,7
304,CS-12400,CA-2017-107293,2017-09-05,2017-09-06,First Class,OFF-AR-10003732,1
305,SS-20875,CA-2017-107909,2017-09-01,2017-09-06,Standard Class,TEC-AC-10001998,1
306,SS-20875,CA-2017-107909,2017-09-01,2017-09-06,Standard Class,OFF-BI-10003476,5
307,MC-18100,CA-2017-113075,2017-09-02,2017-09-06,Standard Class,TEC-AC-10003441,3
308,RK-19300,CA-2017-114216,2017-09-02,2017-09-06,Standard Class,OFF-PA-10002195,3
309,PK-19075,CA-2017-116680,2017-09-04,2017-09-06,Second Class,OFF-BI-10004022,6
310,PK-19075,CA-2017-116680,2017-09-04,2017-09-06,Second Class,FUR-TA-10001771,8
311,HW-14935,CA-2017-140326,2017-09-04,2017-09-06,First Class,FUR-BO-10000112,9
312,HW-14935,CA-2017-140326,2017-09-04,2017-09-06,First Class,OFF-PA-10004041,3
313,HW-14935,CA-2017-140326,2017-09-04,2017-09-06,First Class,OFF-AR-10001149,3
314,AH-10210,CA-2017-146983,2017-09-02,2017-09-06,Standard Class,OFF-BI-10003650,3
315,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,OFF-AR-10000658,2
316,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,OFF-BI-10004970,8
317,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,OFF-LA-10001641,6
318,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,TEC-PH-10003885,3
319,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,FUR-CH-10003379,5
320,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,FUR-TA-10001889,1
321,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,OFF-AR-10004582,3
322,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,OFF-AP-10000358,1
323,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,TEC-AC-10002842,2
324,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,OFF-PA-10003893,4
325,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,TEC-AC-10000109,3
326,AC-10615,CA-2017-157987,2017-09-02,2017-09-06,Standard Class,FUR-FU-10001196,2
327,KB-16405,CA-2017-161067,2017-09-03,2017-09-06,Second Class,OFF-AR-10003251,2
328,KB-16405,CA-2017-161067,2017-09-03,2017-09-06,Second Class,FUR-CH-10004626,1
329,KB-16405,CA-2017-161067,2017-09-03,2017-09-06,Second Class,FUR-CH-10004860,2
330,KB-16405,CA-2017-161067,2017-09-03,2017-09-06,Second Class,OFF-PA-10000418,4
331,JL-15235,US-2017-163657,2017-09-02,2017-09-06,Standard Class,OFF-BI-10000138,5
332,JL-15235,US-2017-163657,2017-09-02,2017-09-06,Standard Class,FUR-TA-10004607,2
333,VM-21835,US-2017-166394,2017-09-04,2017-09-06,Second Class,OFF-FA-10001843,6
366,PF-19225,CA-2017-110380,2017-09-02,2017-09-07,Standard Class,OFF-AR-10000422,3
367,TG-21640,CA-2017-128783,2017-09-07,2017-09-07,Same Day,TEC-AC-10002473,4
368,TG-21640,CA-2017-128783,2017-09-07,2017-09-07,Same Day,FUR-FU-10003623,5
369,BE-11335,CA-2017-137596,2017-09-02,2017-09-07,Standard Class,TEC-PH-10001494,4
370,BE-11335,CA-2017-137596,2017-09-02,2017-09-07,Standard Class,OFF-ST-10003816,2
371,BE-11335,CA-2017-137596,2017-09-02,2017-09-07,Standard Class,TEC-AC-10004666,7
372,TB-21055,CA-2017-145037,2017-09-02,2017-09-07,Second Class,OFF-PA-10000157,4
373,TB-21055,CA-2017-145037,2017-09-02,2017-09-07,Second Class,OFF-ST-10000918,1
374,TB-21055,CA-2017-145037,2017-09-02,2017-09-07,Second Class,OFF-PA-10002499,3
375,AP-10915,CA-2017-146136,2017-09-03,2017-09-07,Standard Class,OFF-EN-10001219,4
376,MY-18295,CA-2017-167626,2017-09-03,2017-09-07,Standard Class,TEC-AC-10004353,2
377,MY-18295,CA-2017-167626,2017-09-03,2017-09-07,Standard Class,OFF-PA-10003424,3
378,CK-12325,US-2017-135230,2017-09-01,2017-09-07,Standard Class,OFF-AR-10001166,1
379,JK-15730,US-2017-153255,2017-09-03,2017-09-07,Second Class,FUR-BO-10004218,2
419,JK-16120,CA-2017-100783,2017-09-04,2017-09-08,Second Class,OFF-AR-10000380,1
420,GM-14695,CA-2017-102750,2017-09-04,2017-09-08,Second Class,FUR-TA-10000198,3
421,JS-15595,CA-2017-111220,2017-09-02,2017-09-08,Standard Class,OFF-FA-10002280,4
422,JS-15595,CA-2017-111220,2017-09-02,2017-09-08,Standard Class,OFF-AP-10003278,2
423,JS-15595,CA-2017-111220,2017-09-02,2017-09-08,Standard Class,OFF-ST-10003994,5
424,Dl-13600,CA-2017-114552,2017-09-02,2017-09-08,Standard Class,FUR-FU-10002960,3
425,AB-10150,CA-2017-120761,2017-09-04,2017-09-08,Standard Class,TEC-AC-10000171,4
426,AW-10840,CA-2017-123001,2017-09-02,2017-09-08,Standard Class,OFF-AR-10001919,5
427,AW-10840,CA-2017-123001,2017-09-02,2017-09-08,Standard Class,TEC-PH-10003484,2
428,AW-10840,CA-2017-123001,2017-09-02,2017-09-08,Standard Class,OFF-LA-10004544,5
429,SC-20050,CA-2017-123022,2017-09-03,2017-09-08,Standard Class,OFF-BI-10002225,5
430,SC-20050,CA-2017-123022,2017-09-03,2017-09-08,Standard Class,TEC-AC-10000474,3
431,CV-12805,CA-2017-137582,2017-09-04,2017-09-08,Standard Class,OFF-BI-10001757,3
432,RA-19285,CA-2017-141929,2017-09-04,2017-09-08,Standard Class,OFF-BI-10004632,2
433,RA-19285,CA-2017-141929,2017-09-04,2017-09-08,Standard Class,OFF-ST-10002974,5
434,RA-19285,CA-2017-141929,2017-09-04,2017-09-08,Standard Class,TEC-PH-10002185,1
435,EJ-14155,CA-2017-147410,2017-09-04,2017-09-08,Standard Class,OFF-ST-10003805,2
436,JM-16195,CA-2017-151008,2017-09-07,2017-09-08,First Class,TEC-PH-10002807,4
437,JM-16195,CA-2017-151008,2017-09-07,2017-09-08,First Class,FUR-FU-10002396,2
438,JD-15790,CA-2017-152485,2017-09-04,2017-09-08,Standard Class,OFF-ST-10004950,1
439,JD-15790,CA-2017-152485,2017-09-04,2017-09-08,Standard Class,OFF-AR-10003759,7
440,JD-15790,CA-2017-152485,2017-09-04,2017-09-08,Standard Class,OFF-AR-10001940,5
441,AG-10900,CA-2017-161557,2017-09-03,2017-09-08,Standard Class,FUR-FU-10004622,5
442,AG-10300,CA-2017-161823,2017-09-03,2017-09-08,Standard Class,OFF-AR-10002053,2
443,DO-13645,US-2017-117450,2017-09-04,2017-09-08,Standard Class,FUR-CH-10003817,2
444,DO-13645,US-2017-117450,2017-09-04,2017-09-08,Standard Class,OFF-PA-10000289,2
445,EP-13915,US-2017-122637,2017-09-03,2017-09-08,Second Class,OFF-BI-10002429,7
461,LP-17095,CA-2017-102736,2017-09-05,2017-09-09,Standard Class,TEC-AC-10004568,4
462,LP-17095,CA-2017-102736,2017-09-05,2017-09-09,Standard Class,OFF-AR-10001897,5
463,LP-17095,CA-2017-102736,2017-09-05,2017-09-09,Standard Class,OFF-PA-10001800,3
464,MD-17350,CA-2017-109757,2017-09-04,2017-09-09,Second Class,OFF-PA-10000007,4
465,MD-17350,CA-2017-109757,2017-09-04,2017-09-09,Second Class,OFF-BI-10001634,2
466,MD-17350,CA-2017-109757,2017-09-04,2017-09-09,Second Class,OFF-AR-10002335,4
467,MD-17350,CA-2017-109757,2017-09-04,2017-09-09,Second Class,OFF-BI-10004001,5
468,FC-14245,CA-2017-144456,2017-09-08,2017-09-09,First Class,TEC-PH-10001750,3
469,FC-14245,CA-2017-144456,2017-09-08,2017-09-09,First Class,OFF-ST-10001321,5
470,Dp-13240,CA-2017-163692,2017-09-07,2017-09-09,First Class,OFF-BI-10003291,3
471,AA-10375,US-2017-169488,2017-09-07,2017-09-09,First Class,OFF-PA-10002659,5
472,AA-10375,US-2017-169488,2017-09-07,2017-09-09,First Class,OFF-PA-10000157,2
513,TH-21235,CA-2017-117261,2017-09-04,2017-09-10,Standard Class,OFF-ST-10000419,4
514,MM-17920,CA-2017-117394,2017-09-04,2017-09-10,Standard Class,TEC-AC-10000199,4
515,SH-20395,CA-2017-122280,2017-09-10,2017-09-10,Same Day,OFF-PA-10004911,2
516,FH-14275,CA-2017-128370,2017-09-10,2017-09-10,Same Day,OFF-BI-10004140,2
517,FH-14275,CA-2017-128370,2017-09-10,2017-09-10,Same Day,FUR-CH-10002602,3
518,JD-16015,CA-2017-152198,2017-09-09,2017-09-10,First Class,OFF-LA-10000443,6
519,JD-16015,CA-2017-152198,2017-09-09,2017-09-10,First Class,OFF-BI-10003669,3
520,JD-16015,CA-2017-152198,2017-09-09,2017-09-10,First Class,OFF-BI-10001628,2
521,RS-19765,CA-2017-152856,2017-09-08,2017-09-10,Second Class,TEC-AC-10004864,4
522,PF-19225,US-2017-130687,2017-09-07,2017-09-10,First Class,TEC-PH-10002033,2
523,PF-19225,US-2017-130687,2017-09-07,2017-09-10,First Class,OFF-AR-10004260,1
524,PF-19225,US-2017-130687,2017-09-07,2017-09-10,First Class,FUR-FU-10004053,4
559,CB-12025,CA-2017-100160,2017-09-07,2017-09-11,Standard Class,OFF-PA-10003072,3
560,CB-12025,CA-2017-100160,2017-09-07,2017-09-11,Standard Class,OFF-EN-10001509,3
561,CB-12025,CA-2017-100160,2017-09-07,2017-09-11,Standard Class,OFF-LA-10002475,5
562,AG-10390,CA-2017-107244,2017-09-07,2017-09-11,Standard Class,FUR-FU-10002597,4
563,MG-17875,CA-2017-120705,2017-09-05,2017-09-11,Standard Class,OFF-ST-10001522,2
564,CB-12025,CA-2017-144484,2017-09-11,2017-09-11,Same Day,FUR-FU-10000260,4
565,CB-12025,CA-2017-144484,2017-09-11,2017-09-11,Same Day,OFF-AP-10004487,5
566,SP-20620,CA-2017-148929,2017-09-07,2017-09-11,Standard Class,OFF-ST-10003282,8
567,AG-10675,US-2017-104094,2017-09-07,2017-09-11,Standard Class,TEC-AC-10002134,1
568,BF-11020,US-2017-124779,2017-09-08,2017-09-11,First Class,FUR-CH-10003535,5
569,BF-11020,US-2017-124779,2017-09-08,2017-09-11,First Class,FUR-FU-10001095,2
570,BF-11020,US-2017-124779,2017-09-08,2017-09-11,First Class,TEC-CO-10001943,2
571,BF-11020,US-2017-124779,2017-09-08,2017-09-11,First Class,OFF-BI-10002429,7
572,BF-11020,US-2017-124779,2017-09-08,2017-09-11,First Class,OFF-PA-10000061,4
573,BF-11020,US-2017-124779,2017-09-08,2017-09-11,First Class,OFF-FA-10004854,5
574,JC-15340,US-2017-129441,2017-09-07,2017-09-11,Standard Class,FUR-FU-10000448,3
575,JF-15415,US-2017-142188,2017-09-11,2017-09-11,Same Day,FUR-CH-10003199,2
576,JF-15415,US-2017-142188,2017-09-11,2017-09-11,Same Day,OFF-PA-10002005,3
577,JF-15415,US-2017-142188,2017-09-11,2017-09-11,Same Day,OFF-BI-10004600,5
578,JF-15415,US-2017-142188,2017-09-11,2017-09-11,Same Day,TEC-PH-10000127,5
579,JF-15415,US-2017-142188,2017-09-11,2017-09-11,Same Day,OFF-PA-10004101,11
615,RC-19960,CA-2017-112774,2017-09-11,2017-09-12,First Class,FUR-FU-10003039,1
616,RD-19900,CA-2017-124401,2017-09-07,2017-09-12,Standard Class,OFF-ST-10000649,3
617,RD-19900,CA-2017-124401,2017-09-07,2017-09-12,Standard Class,TEC-AC-10002926,7
618,AR-10345,CA-2017-126396,2017-09-08,2017-09-12,Second Class,TEC-AC-10003116,6
619,DM-12955,CA-2017-128769,2017-09-07,2017-09-12,Standard Class,OFF-AP-10001271,2
620,KF-16285,CA-2017-149559,2017-09-11,2017-09-12,Same Day,FUR-CH-10002320,8
621,KF-16285,CA-2017-149559,2017-09-11,2017-09-12,Same Day,OFF-PA-10003172,2
622,KF-16285,CA-2017-149559,2017-09-11,2017-09-12,Same Day,OFF-EN-10002312,2
623,EB-14110,CA-2017-149895,2017-09-08,2017-09-12,Standard Class,TEC-PH-10002200,2
624,JA-15970,US-2017-150070,2017-09-07,2017-09-12,Standard Class,FUR-CH-10004860,2
657,NF-18595,CA-2017-100335,2017-09-07,2017-09-13,Standard Class,OFF-PA-10001685,9
658,HA-14920,CA-2017-117044,2017-09-11,2017-09-13,Second Class,OFF-PA-10003657,6
659,HA-14920,CA-2017-117044,2017-09-11,2017-09-13,Second Class,OFF-FA-10000936,4
660,AR-10345,CA-2017-126438,2017-09-10,2017-09-13,First Class,OFF-AR-10003338,2
661,SS-20410,CA-2017-127726,2017-09-11,2017-09-13,Second Class,OFF-FA-10000992,4
662,SS-20410,CA-2017-127726,2017-09-11,2017-09-13,Second Class,OFF-AP-10002578,4
663,EM-14095,CA-2017-132437,2017-09-08,2017-09-13,Second Class,OFF-ST-10001031,4
664,KH-16630,CA-2017-147403,2017-09-10,2017-09-13,First Class,OFF-PA-10003302,3
665,AI-10855,CA-2017-155929,2017-09-09,2017-09-13,Standard Class,OFF-PA-10000859,2
666,KH-16630,CA-2017-166898,2017-09-11,2017-09-13,Second Class,TEC-PH-10002564,6
667,KH-16630,CA-2017-166898,2017-09-11,2017-09-13,Second Class,OFF-PA-10002262,3
668,LC-17140,CA-2017-169439,2017-09-09,2017-09-13,Standard Class,OFF-AR-10001374,5
669,LC-17140,CA-2017-169439,2017-09-09,2017-09-13,Standard Class,FUR-FU-10000723,2
670,SP-20620,US-2017-118087,2017-09-09,2017-09-13,Standard Class,FUR-FU-10001867,2
671,SP-20620,US-2017-118087,2017-09-09,2017-09-13,Standard Class,TEC-PH-10002200,7
672,SP-20620,US-2017-118087,2017-09-09,2017-09-13,Standard Class,TEC-AC-10004469,3
673,SP-20620,US-2017-118087,2017-09-09,2017-09-13,Standard Class,OFF-BI-10000069,1
674,SP-20620,US-2017-118087,2017-09-09,2017-09-13,Standard Class,FUR-CH-10004860,2
675,SP-20620,US-2017-118087,2017-09-09,2017-09-13,Standard Class,OFF-BI-10002432,2
676,SP-20620,US-2017-118087,2017-09-09,2017-09-13,Standard Class,TEC-AC-10003174,3
677,SP-20620,US-2017-118087,2017-09-09,2017-09-13,Standard Class,OFF-AR-10003602,1
678,MM-18055,US-2017-124968,2017-09-08,2017-09-13,Second Class,FUR-TA-10004289,7
715,KD-16495,CA-2017-100825,2017-09-09,2017-09-14,Standard Class,OFF-ST-10003123,3
716,RD-19660,CA-2017-103877,2017-09-07,2017-09-14,Standard Class,OFF-BI-10003650,3
717,LC-17050,CA-2017-137498,2017-09-09,2017-09-14,Second Class,OFF-PA-10000143,9
718,LC-17050,CA-2017-137498,2017-09-09,2017-09-14,Second Class,OFF-AR-10003829,2
719,LC-17050,CA-2017-137498,2017-09-09,2017-09-14,Second Class,FUR-CH-10003833,5
720,SO-20335,CA-2017-147228,2017-09-09,2017-09-14,Standard Class,OFF-PA-10000357,4
721,SO-20335,CA-2017-147228,2017-09-09,2017-09-14,Standard Class,FUR-FU-10000023,3
722,SO-20335,CA-2017-147228,2017-09-09,2017-09-14,Standard Class,OFF-ST-10000046,2
723,SO-20335,CA-2017-147228,2017-09-09,2017-09-14,Standard Class,OFF-SU-10001225,3
724,LT-17110,CA-2017-147725,2017-09-14,2017-09-14,Same Day,OFF-AR-10001725,3
725,DB-13555,CA-2017-158036,2017-09-08,2017-09-14,Standard Class,TEC-AC-10002558,1
726,SS-20410,CA-2017-159954,2017-09-10,2017-09-14,Standard Class,OFF-BI-10004876,1
727,MC-17605,US-2017-146213,2017-09-09,2017-09-14,Standard Class,TEC-AC-10001114,4
771,DP-13390,CA-2017-154466,2017-01-01,2017-01-02,First Class,OFF-BI-10002012,2
774,JM-15535,CA-2017-103611,2017-09-12,2017-09-15,First Class,FUR-FU-10004270,2
775,DJ-13510,CA-2017-108749,2017-09-12,2017-09-15,First Class,OFF-PA-10003797,7
776,DJ-13510,CA-2017-108749,2017-09-12,2017-09-15,First Class,OFF-BI-10003707,3
777,RW-19690,CA-2017-110905,2017-09-10,2017-09-15,Second Class,OFF-BI-10003669,3
778,RW-19690,CA-2017-110905,2017-09-10,2017-09-15,Second Class,TEC-AC-10002217,6
779,RW-19690,CA-2017-110905,2017-09-10,2017-09-15,Second Class,OFF-ST-10000025,3
780,RW-19690,CA-2017-110905,2017-09-10,2017-09-15,Second Class,OFF-AP-10004785,3
781,RW-19690,CA-2017-110905,2017-09-10,2017-09-15,Second Class,OFF-BI-10002954,3
782,RW-19690,CA-2017-110905,2017-09-10,2017-09-15,Second Class,TEC-AC-10003023,5
783,RW-19690,CA-2017-110905,2017-09-10,2017-09-15,Second Class,OFF-AP-10003281,2
784,RW-19690,CA-2017-110905,2017-09-10,2017-09-15,Second Class,OFF-PA-10002586,5
785,LC-16930,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,TEC-PH-10004093,4
786,DB-12910,CA-2017-124898,2017-09-11,2017-09-15,Standard Class,OFF-PA-10003656,7
787,GK-14620,CA-2017-139444,2017-09-09,2017-09-15,Standard Class,OFF-LA-10000134,4
788,BF-11080,CA-2017-140676,2017-09-12,2017-09-15,First Class,OFF-PA-10004082,5
789,BF-11080,CA-2017-140676,2017-09-12,2017-09-15,First Class,OFF-AP-10000358,7
790,BF-11080,CA-2017-140676,2017-09-12,2017-09-15,First Class,OFF-PA-10004243,5
791,SB-20290,CA-2017-147361,2017-09-09,2017-09-15,Standard Class,OFF-ST-10001809,7
792,SB-20290,CA-2017-147361,2017-09-09,2017-09-15,Standard Class,OFF-ST-10002214,5
793,SN-20560,CA-2017-152093,2017-09-10,2017-09-15,Standard Class,OFF-BI-10003527,3
794,PS-18760,CA-2017-156237,2017-09-14,2017-09-15,First Class,TEC-MA-10002930,1
795,PS-18760,CA-2017-156237,2017-09-14,2017-09-15,First Class,FUR-CH-10002372,2
796,PS-18760,CA-2017-156237,2017-09-14,2017-09-15,First Class,OFF-BI-10000301,2
797,PS-18760,CA-2017-156237,2017-09-14,2017-09-15,First Class,FUR-FU-10001057,8
798,PS-18760,CA-2017-156237,2017-09-14,2017-09-15,First Class,OFF-BI-10003707,4
799,PS-18760,CA-2017-156237,2017-09-14,2017-09-15,First Class,TEC-MA-10001681,2
800,DK-12835,CA-2017-168403,2017-09-09,2017-09-15,Standard Class,OFF-PA-10002036,6
801,DK-12835,CA-2017-168403,2017-09-09,2017-09-15,Standard Class,OFF-AP-10003278,1
802,CB-12025,US-2017-152898,2017-09-11,2017-09-15,Standard Class,OFF-AP-10000027,5
803,JB-16000,US-2017-159562,2017-09-09,2017-09-15,Standard Class,OFF-EN-10000461,2
834,RB-19705,CA-2017-152975,2017-09-14,2017-09-16,First Class,OFF-ST-10001370,1
835,RB-19705,CA-2017-152975,2017-09-14,2017-09-16,First Class,OFF-AR-10001988,5
836,RB-19705,CA-2017-152975,2017-09-14,2017-09-16,First Class,TEC-PH-10004586,3
837,RB-19705,CA-2017-152975,2017-09-14,2017-09-16,First Class,FUR-CH-10003298,5
838,CC-12475,US-2017-160836,2017-09-11,2017-09-16,Standard Class,OFF-AP-10001626,2
839,CC-12475,US-2017-160836,2017-09-11,2017-09-16,Standard Class,FUR-TA-10002855,5
840,CC-12475,US-2017-160836,2017-09-11,2017-09-16,Standard Class,OFF-PA-10004239,3
871,AS-10045,CA-2017-113481,2017-01-02,2017-01-04,First Class,OFF-BI-10003694,5
872,AS-10045,CA-2017-113481,2017-01-02,2017-01-04,First Class,TEC-MA-10002178,2
873,AS-10045,CA-2017-113481,2017-01-02,2017-01-04,First Class,OFF-BI-10000474,6
874,FW-14395,CA-2017-118668,2017-01-02,2017-01-04,Second Class,TEC-AC-10000682,1
875,TS-21655,CA-2017-147207,2017-01-02,2017-01-04,Second Class,OFF-AP-10000027,2
876,TS-21655,CA-2017-147207,2017-01-02,2017-01-04,Second Class,FUR-TA-10002958,5
877,TS-21655,CA-2017-147207,2017-01-02,2017-01-04,Second Class,OFF-ST-10002615,3
878,TS-21655,CA-2017-147207,2017-01-02,2017-01-04,Second Class,OFF-AR-10001955,2
879,TB-21520,CA-2017-114440,2017-09-14,2017-09-17,Second Class,OFF-PA-10004675,3
880,DB-13555,CA-2017-115882,2017-09-14,2017-09-17,First Class,OFF-AP-10002534,4
881,DB-13555,CA-2017-115882,2017-09-14,2017-09-17,First Class,OFF-PA-10001125,3
882,BB-10990,CA-2017-118136,2017-09-16,2017-09-17,First Class,OFF-PA-10002615,2
883,BB-10990,CA-2017-118136,2017-09-16,2017-09-17,First Class,OFF-AR-10001427,1
884,CL-11890,CA-2017-121888,2017-09-15,2017-09-17,Second Class,TEC-PH-10000439,1
885,CL-11890,CA-2017-121888,2017-09-15,2017-09-17,Second Class,OFF-AR-10003478,2
886,CL-11890,CA-2017-121888,2017-09-15,2017-09-17,Second Class,OFF-BI-10001765,7
887,CL-11890,CA-2017-121888,2017-09-15,2017-09-17,Second Class,FUR-BO-10002545,3
888,HA-14905,CA-2017-123036,2017-09-10,2017-09-17,Standard Class,TEC-PH-10003580,2
889,HA-14905,CA-2017-123036,2017-09-10,2017-09-17,Standard Class,TEC-AC-10003499,4
890,CS-12400,CA-2017-127096,2017-09-15,2017-09-17,Second Class,FUR-TA-10003473,1
891,DB-13060,CA-2017-132353,2017-09-15,2017-09-17,First Class,TEC-PH-10004536,3
892,TP-21415,CA-2017-137470,2017-09-17,2017-09-17,Same Day,OFF-PA-10002001,2
893,DO-13645,CA-2017-165008,2017-09-15,2017-09-17,Second Class,OFF-BI-10002794,9
894,JM-15865,US-2017-109582,2017-09-12,2017-09-17,Second Class,OFF-PA-10004071,3
933,SC-20725,CA-2017-144463,2017-01-01,2017-01-05,Standard Class,FUR-FU-10001215,11
934,JM-15250,CA-2017-151750,2017-01-01,2017-01-05,Standard Class,FUR-FU-10002116,5
935,JM-15250,CA-2017-151750,2017-01-01,2017-01-05,Standard Class,OFF-BI-10000301,5
936,JM-15250,CA-2017-151750,2017-01-01,2017-01-05,Standard Class,OFF-BI-10000343,14
937,JM-15250,CA-2017-151750,2017-01-01,2017-01-05,Standard Class,OFF-AR-10003158,4
938,JM-15250,CA-2017-151750,2017-01-01,2017-01-05,Standard Class,OFF-AP-10004708,2
939,JM-15250,CA-2017-151750,2017-01-01,2017-01-05,Standard Class,FUR-CH-10003199,4
940,JM-15250,CA-2017-151750,2017-01-01,2017-01-05,Standard Class,OFF-ST-10002743,5
941,EH-14185,CA-2017-112984,2017-09-16,2017-09-18,Second Class,OFF-PA-10003657,6
942,AS-10090,CA-2017-136448,2017-09-16,2017-09-18,First Class,FUR-FU-10003832,3
943,AS-10090,CA-2017-136448,2017-09-16,2017-09-18,First Class,TEC-AC-10001109,3
944,AS-10090,CA-2017-136448,2017-09-16,2017-09-18,First Class,OFF-BI-10002393,2
945,AS-10090,CA-2017-136448,2017-09-16,2017-09-18,First Class,TEC-AC-10003628,2
