Customer_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Product_ID,Product_Name,Quantity
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,TEC-AC-10002253,Imation Bio 8GB USB Flash Drive Imation Corp,5
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-PA-10000528,Xerox 1981,5
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-ST-10003442,Eldon Portable Mobile Manager,5
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-EN-10000483,"White Envelopes, White Envelopes with Clear Poly Window",7
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-ST-10000464,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",1
DJ-13420,CA-2016-123540,2016-04-02,2016-04-06,Second Class,FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,5
EH-13990,CA-2016-124100,2016-03-31,2016-04-06,Standard Class,FUR-CH-10003817,"Global Value Steno Chair, Gray",6
DW-13540,CA-2016-149902,2016-04-01,2016-04-06,Standard Class,OFF-AR-10002956,Boston 16801 Nautilus Battery Pencil Sharpener,4
MG-17650,CA-2016-139395,2016-12-12,2016-12-18,Standard Class,TEC-PH-10002103,Jabra SPEAK 410,7
MG-17650,CA-2016-139395,2016-12-12,2016-12-18,Standard Class,FUR-FU-10003724,Westinghouse Clip-On Gooseneck Lamps,4
MG-17650,CA-2016-139395,2016-12-12,2016-12-18,Standard Class,OFF-ST-10000885,Fellowes Desktop Hanging File Manager,2
MG-17650,CA-2016-139395,2016-12-12,2016-12-18,Standard Class,OFF-AR-10003732,Newell 333,5
EC-14050,US-2016-169369,2016-12-12,2016-12-18,Standard Class,OFF-PA-10004438,Xerox 1907,4
EC-14050,US-2016-169369,2016-12-12,2016-12-18,Standard Class,TEC-AC-10001314,Case Logic 2.4GHz Wireless Keyboard,5
SF-20200,CA-2017-163097,2017-08-27,2017-08-31,Standard Class,FUR-FU-10004973,Flat Face Poster Frame,8
MS-17365,CA-2014-120278,2014-11-07,2014-11-12,Standard Class,OFF-BI-10004970,"ACCOHIDE 3-Ring Binder, Blue, 1""",3
MS-17365,CA-2014-120278,2014-11-07,2014-11-12,Standard Class,OFF-AP-10001293,Belkin 8 Outlet Surge Protector,6
MS-17365,CA-2014-120278,2014-11-07,2014-11-12,Standard Class,OFF-ST-10002214,X-Rack File for Hanging Folders,2
MS-17365,CA-2014-120278,2014-11-07,2014-11-12,Standard Class,OFF-ST-10004258,Portable Personal File Box,3
LH-16900,CA-2014-123323,2014-11-07,2014-11-12,Standard Class,OFF-BI-10003684,Wilson Jones Legal Size Ring Binders,7
RF-19840,CA-2014-151078,2014-11-12,2014-11-12,Same Day,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",4
SC-20725,CA-2014-159310,2014-11-07,2014-11-12,Standard Class,OFF-BI-10000201,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",3
SC-20725,CA-2014-159310,2014-11-07,2014-11-12,Standard Class,OFF-SU-10004115,Acme Stainless Steel Office Snips,7
SC-20725,CA-2014-159310,2014-11-07,2014-11-12,Standard Class,FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",4
MS-17830,CA-2015-124044,2015-07-23,2015-07-26,Second Class,OFF-BI-10003460,Acco 3-Hole Punch,3
AS-10240,CA-2015-143700,2015-07-26,2015-07-26,Same Day,OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",2
CS-11950,CA-2016-120796,2016-04-03,2016-04-07,Standard Class,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",9
MY-18295,US-2016-160206,2016-04-01,2016-04-07,Standard Class,TEC-PH-10000148,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,1
TC-21475,CA-2016-100307,2016-12-15,2016-12-19,Standard Class,OFF-PA-10002552,Xerox 1958,3
JC-15340,CA-2016-102792,2016-12-13,2016-12-19,Standard Class,OFF-AR-10004757,Crayola Colored Pencils,3
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-BI-10000279,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",2
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-ST-10004507,Advantus Rolling Storage Box,1
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,FUR-FU-10002937,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",4
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",6
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-PA-10001471,Strathmore Photo Frame Cards,2
PK-19075,CA-2016-129126,2016-12-14,2016-12-19,Standard Class,OFF-LA-10003190,Avery 474,2
SF-20065,CA-2016-130442,2016-12-16,2016-12-19,First Class,OFF-AP-10004859,Acco 6 Outlet Guardian Premium Surge Suppressor,3
MP-17965,CA-2016-142335,2016-12-15,2016-12-19,Standard Class,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,3
MP-17965,CA-2016-142335,2016-12-15,2016-12-19,Standard Class,OFF-ST-10000036,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",3
MC-17845,CA-2016-146143,2016-12-14,2016-12-19,Standard Class,FUR-FU-10002045,"Executive Impressions 14""",6
KD-16495,US-2016-104794,2016-12-16,2016-12-19,First Class,OFF-FA-10001754,Stockwell Gold Paper Clips,2
RW-19540,CA-2017-128041,2017-09-01,2017-09-01,Same Day,FUR-TA-10002607,KI Conference Tables,4
RW-19540,CA-2017-128041,2017-09-01,2017-09-01,Same Day,OFF-AP-10001005,Honeywell Quietcare HEPA Air Cleaner,4
SC-20680,CA-2017-128475,2017-08-26,2017-09-01,Standard Class,TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,2
DK-12895,CA-2017-133501,2017-08-27,2017-09-01,Standard Class,OFF-PA-10004888,Xerox 217,1
CP-12085,CA-2017-144064,2017-08-29,2017-09-01,First Class,OFF-ST-10004507,Advantus Rolling Storage Box,2
CP-12085,CA-2017-144064,2017-08-29,2017-09-01,First Class,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,9
CP-12085,CA-2017-144064,2017-08-29,2017-09-01,First Class,OFF-LA-10004544,Avery 505,4
CA-12775,CA-2017-145653,2017-09-01,2017-09-01,Same Day,FUR-CH-10004875,Harbour Creations 67200 Series Stacking Chairs,7
SC-20305,CA-2017-146920,2017-08-28,2017-09-01,Standard Class,OFF-PA-10001461,HP Office Paper (20Lb. and 87 Bright),5
SC-20305,CA-2017-146920,2017-08-28,2017-09-01,Standard Class,OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),6
DP-13000,CA-2017-157350,2017-08-26,2017-09-01,Standard Class,FUR-FU-10000222,"Seth Thomas 16"" Steel Case Clock",5
AR-10405,US-2017-134481,2017-08-27,2017-09-01,Standard Class,FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",7
MG-17650,US-2017-169502,2017-08-28,2017-09-01,Standard Class,OFF-SU-10004115,Acme Stainless Steel Office Snips,3
MG-17650,US-2017-169502,2017-08-28,2017-09-01,Standard Class,OFF-AP-10001947,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,5
JH-15430,US-2014-137680,2014-02-24,2014-03-02,Standard Class,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",4
JH-15430,US-2014-137680,2014-02-24,2014-03-02,Standard Class,OFF-PA-10000069,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",3
BF-11215,CA-2014-103219,2014-11-09,2014-11-13,Standard Class,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",9
BF-11215,CA-2014-103219,2014-11-09,2014-11-13,Standard Class,FUR-FU-10004091,"Eldon 200 Class Desk Accessories, Black",9
MZ-17515,CA-2014-128524,2014-11-11,2014-11-13,First Class,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,1
MZ-17515,CA-2014-128524,2014-11-11,2014-11-13,First Class,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2
MZ-17515,CA-2014-128524,2014-11-11,2014-11-13,First Class,TEC-AC-10002718,Belkin Standard 104 key USB Keyboard,7
MA-17560,CA-2014-140732,2014-11-11,2014-11-13,Second Class,TEC-PH-10001425,Mophie Juice Pack Helium for iPhone,9
MA-17560,CA-2014-140732,2014-11-11,2014-11-13,Second Class,OFF-PA-10003625,Xerox 1979,4
MA-17560,CA-2014-140732,2014-11-11,2014-11-13,Second Class,OFF-AP-10001626,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",2
TH-21550,CA-2015-120810,2015-07-23,2015-07-27,Standard Class,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",3
TH-21550,CA-2015-120810,2015-07-23,2015-07-27,Standard Class,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,3
MH-18025,CA-2015-148635,2015-07-25,2015-07-27,Second Class,FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,5
MH-18025,CA-2015-148635,2015-07-25,2015-07-27,Second Class,FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",5
MH-18025,CA-2015-148635,2015-07-25,2015-07-27,Second Class,OFF-FA-10004395,Plymouth Boxed Rubber Bands by Plymouth,2
MH-18025,CA-2015-148635,2015-07-25,2015-07-27,Second Class,FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2
MH-18025,CA-2015-148635,2015-07-25,2015-07-27,Second Class,OFF-PA-10004782,Xerox 228,2
RA-19915,US-2015-122784,2015-07-20,2015-07-27,Standard Class,FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,4
RA-19915,US-2015-122784,2015-07-20,2015-07-27,Standard Class,OFF-BI-10000546,Avery Durable Binders,5
RA-19915,US-2015-122784,2015-07-20,2015-07-27,Standard Class,TEC-PH-10001557,Pyle PMP37LED,2
RA-19915,US-2015-122784,2015-07-20,2015-07-27,Standard Class,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",5
BB-10990,CA-2016-103947,2016-04-01,2016-04-08,Standard Class,OFF-AP-10002350,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,2
BB-10990,CA-2016-103947,2016-04-01,2016-04-08,Standard Class,OFF-FA-10003112,Staples,5
BC-11125,CA-2016-123050,2016-04-04,2016-04-08,Second Class,FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",2
BC-11125,CA-2016-123050,2016-04-04,2016-04-08,Second Class,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",2
BC-11125,CA-2016-123050,2016-04-04,2016-04-08,Second Class,TEC-AC-10001109,Logitech Trackman Marble Mouse,3
AH-10195,CA-2016-112697,2016-12-18,2016-12-20,Second Class,OFF-SU-10000646,Premier Automatic Letter Opener,5
AH-10195,CA-2016-112697,2016-12-18,2016-12-20,Second Class,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",2
AH-10195,CA-2016-112697,2016-12-18,2016-12-20,Second Class,OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,7
AY-10555,CA-2016-139934,2016-12-18,2016-12-20,First Class,TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,7
RW-19630,CA-2016-142958,2016-12-13,2016-12-20,Standard Class,OFF-BI-10001759,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",2
RW-19630,CA-2016-142958,2016-12-13,2016-12-20,Standard Class,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,4
JK-16120,CA-2016-150945,2016-12-18,2016-12-20,Second Class,OFF-ST-10003716,Tennsco Double-Tier Lockers,4
CC-12670,US-2016-100419,2016-12-16,2016-12-20,Second Class,OFF-BI-10002194,Cardinal Hold-It CD Pocket,3
SU-20665,CA-2017-111388,2017-09-02,2017-09-02,Same Day,FUR-CH-10003061,"Global Leather Task Chair, Black",3
BW-11110,CA-2017-154074,2017-08-31,2017-09-02,Second Class,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,2
BW-11110,CA-2017-154074,2017-08-31,2017-09-02,Second Class,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",7
JS-16030,CA-2014-156545,2014-02-27,2014-03-03,First Class,OFF-AR-10003560,Zebra Zazzle Fluorescent Highlighters,4
TZ-21580,CA-2014-163419,2014-11-11,2014-11-14,Second Class,OFF-AR-10000034,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",1
TZ-21580,CA-2014-163419,2014-11-11,2014-11-14,Second Class,TEC-PH-10000560,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),2
TZ-21580,CA-2014-163419,2014-11-11,2014-11-14,Second Class,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",5
EB-13870,US-2014-126340,2014-11-08,2014-11-14,Standard Class,TEC-PH-10004447,Toshiba IPT2010-SD IP Telephone,3
SS-20515,CA-2015-103135,2015-07-24,2015-07-28,Standard Class,OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",9
SS-20515,CA-2015-103135,2015-07-24,2015-07-28,Standard Class,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",3
SS-20515,CA-2015-103135,2015-07-24,2015-07-28,Standard Class,TEC-AC-10003289,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,14
SS-20515,CA-2015-103135,2015-07-24,2015-07-28,Standard Class,OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",6
CA-12775,US-2015-140200,2015-07-26,2015-07-28,First Class,FUR-TA-10002356,Bevis Boat-Shaped Conference Table,3
YC-21895,CA-2016-110499,2016-04-07,2016-04-09,First Class,TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,3
ES-14080,CA-2016-154998,2016-04-07,2016-04-09,First Class,OFF-PA-10004243,Xerox 1939,2
JH-16180,CA-2016-161907,2016-04-05,2016-04-09,Standard Class,OFF-SU-10000646,Premier Automatic Letter Opener,4
JH-16180,CA-2016-161907,2016-04-05,2016-04-09,Standard Class,TEC-PH-10000141,Clearsounds A400,3
EH-14185,CA-2016-167115,2016-04-04,2016-04-09,Standard Class,OFF-BI-10004600,Ibico Ibimaster 300 Manual Binding System,2
ZD-21925,CA-2016-167682,2016-04-03,2016-04-09,Standard Class,TEC-PH-10000673,Plantronics Voyager Pro HD - Bluetooth Headset,4
ZD-21925,CA-2016-167682,2016-04-03,2016-04-09,Standard Class,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",4
AB-10105,CA-2016-117121,2016-12-17,2016-12-21,Standard Class,OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,13
CL-12565,CA-2016-118129,2016-12-19,2016-12-21,Second Class,FUR-FU-10004904,"Eldon ""L"" Workstation Diamond Chairmat",5
PN-18775,CA-2016-138597,2016-12-18,2016-12-21,First Class,FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,3
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,OFF-LA-10000407,Avery White Multi-Purpose Labels,4
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,OFF-AR-10004078,Newell 312,4
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,FUR-TA-10002530,"Iceberg OfficeWorks 42"" Round Tables",5
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,OFF-BI-10001670,Vinyl Sectional Post Binders,4
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,TEC-AC-10000991,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,3
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,TEC-PH-10004833,Macally Suction Cup Mount,3
AH-10120,CA-2016-145261,2016-12-18,2016-12-21,First Class,OFF-PA-10003036,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",2
AH-10075,CA-2016-147109,2016-12-17,2016-12-21,Standard Class,TEC-AC-10002942,WD My Passport Ultra 1TB Portable External Hard Drive,3
AH-10075,CA-2016-147109,2016-12-17,2016-12-21,Standard Class,OFF-PA-10001972,Xerox 214,10
CM-12160,CA-2016-155530,2016-12-17,2016-12-21,Standard Class,FUR-TA-10004256,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,6
MP-18175,US-2016-127334,2016-12-15,2016-12-21,Standard Class,OFF-AP-10001205,Belkin 5 Outlet SurgeMaster Power Centers,2
MP-18175,US-2016-127334,2016-12-15,2016-12-21,Standard Class,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,3
MD-17860,CA-2017-104024,2017-08-29,2017-09-03,Second Class,OFF-AR-10001972,Newell 323,7
KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",5
KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,OFF-AR-10003856,Newell 344,2
KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,TEC-PH-10000912,Anker 24W Portable Micro USB Car Charger,4
KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,5
CL-12565,CA-2014-116239,2014-03-04,2014-03-04,Same Day,OFF-ST-10001370,Sensible Storage WireTech Storage Systems,5
CM-11815,CA-2014-151554,2014-11-14,2014-11-15,First Class,OFF-PA-10004609,Xerox 221,4
TS-21430,CA-2014-155796,2014-11-11,2014-11-15,Second Class,FUR-FU-10000409,"GE 4 Foot Flourescent Tube, 40 Watt",2
TS-21430,CA-2014-155796,2014-11-11,2014-11-15,Second Class,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",4
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,TEC-PH-10003505,Geemarc AmpliPOWER60,2
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-PA-10001033,Xerox 1893,8
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,5
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",5
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-BI-10001267,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",1
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,TEC-PH-10004959,Classic Ivory Antique Telephone ZL1810,3
KD-16270,CA-2014-165309,2014-11-11,2014-11-15,Standard Class,OFF-AR-10003582,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",3
BH-11710,US-2014-140914,2014-11-11,2014-11-15,Standard Class,FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,4
